Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Size of Government,Legal System & Property Rights,Sound Money,Freedom to trade internationally,Regulation
2019,AGO,Angola,4.99,157,,3.46,3.71,5.52,4.5
2019,ALB,Albania,7.72,33,7.64,5.52,9.76,8.53,7.17
2019,ARE,United Arab Emirates,7.05,72,5.4,5.81,8.93,8.49,6.63
2019,ARG,Argentina,5.3,153,6.34,5.46,3.37,5.85,5.48
2019,ARM,Armenia,7.51,47,7.71,5.86,9.34,8.11,6.54
2019,AUS,Australia,8.23,6,6.48,,9.42,8.19,8.41
2019,AUT,Austria,7.8,27,5.38,8.56,9.3,8.61,7.12
2019,AZE,Azerbaijan,6.18,122,5.01,4.4,8.45,7.19,5.83
2019,BDI,Burundi,5.42,149,6.51,3.53,8.76,2.45,5.86
2019,BEL,Belgium,7.63,40,4.7,8.03,9.3,8.78,7.35
2019,BEN,Benin,6.38,107,7.96,4.12,7.32,6.11,6.4
2019,BFA,Burkina Faso,6.34,108,7.19,4.55,6.4,6.65,6.9
2019,BGD,Bangladesh,5.9,132,8.12,3.38,6.51,6.1,5.37
2019,BGR,Bulgaria,7.48,49,7.33,5.46,9.25,8.53,6.82
2019,BHR,Bahrain,7.35,55,7.27,4.14,9.29,8.2,7.84
2019,BHS,"Bahamas, The",7.15,63,8.83,6.27,,5.66,7.04
2019,BIH,Bosnia and Herzegovina,6.86,82,6.84,4.5,8.29,7.77,6.9
2019,BLR,Belarus,6.07,128,6.29,4,8.42,6.36,5.25
2019,BLZ,Belize,,115,6.96,3.88,7.28,6.57,6.66
2019,BOL,Bolivia,6.17,123,6,4.12,9.38,6.76,4.59
2019,BRA,Brazil,6.59,93,6.44,5.01,8.99,7.34,5.14
2019,BRB,Barbados,6.84,83,6.97,6.08,7.9,,6.21
2019,BRN,Brunei Darussalam,7.35,55,6.67,5.65,8.86,7.67,7.89
2019,BTN,Bhutan,6.84,83,7.37,6.67,6.74,6.41,7.01
2019,BWA,Botswana,6.94,79,6.27,6.22,9.05,7.09,6.08
2019,CAF,Central African Republic,5.15,155,7.19,2.47,6.42,5.09,4.59
2019,CAN,Canada,7.96,16,6.36,7.91,9.43,8.12,7.97
2019,CHE,Switzerland,8.33,4,7.73,8.34,9.86,8.07,7.65
2019,CHL,Chile,7.96,16,7.71,6.95,9.49,8.6,7.05
2019,CHN,China,6.17,123,4.96,5.11,8.18,7.04,5.57
2019,CIV,Côte d'Ivoire,6.16,125,6.99,4.92,6.94,5.81,6.16
2019,CMR,Cameroon,5.73,140,7.14,3.3,6.91,5.46,5.84
2019,COD,"Congo, Dem. Rep.",5.13,156,7.72,2.37,5.5,5.56,4.47
2019,COG,"Congo, Rep.",4.95,158,6.45,3.38,4.91,5.83,4.16
2019,COL,Colombia,6.67,89,6.93,4.83,8.05,6.77,6.76
2019,COM,Comoros,5.75,139,6.79,2.82,6.69,6.42,6.04
2019,CPV,Cabo Verde,7.44,51,7.47,6.29,9.67,7.01,6.74
2019,CRI,Costa Rica,7.68,36,7.37,6.34,9.7,8.18,6.83
2019,CYP,Cyprus,7.81,26,7.22,6.84,9.28,8.79,6.9
2019,CZE,Czechia,7.91,22,6.63,7.67,9.33,8.8,7.15
2019,DEU,Germany,7.95,19,5.98,8.31,9.3,8.66,7.48
2019,DJI,Djibouti,6.24,116,5.18,3.62,9.38,6.35,6.66
2019,DNK,Denmark,8.13,9,5.31,8.82,9.78,8.87,7.88
2019,DOM,Dominican Republic,7.53,46,8.7,5.11,9.46,8.25,6.15
