track_id,track_popularity,track_name,duration_ms,track_album_name,track_album_id,track_artist,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,time_signature,popularity_class,speechiness,danceability,energy,instrumentalness,valence,key,tempo,loudness,acousticness,liveness
5e6x5YRnMJIKvYpZxLqdpH,23,Fortunate Son,138053,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,4A8gFwqd9jTtnsNwUu3OQx,Creedence Clearwater Revival,14/12/05,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic,4,low,0.0393,0.636,0.746,0.29,0.432,0,132.31,-3.785,0.0648,0.173
5FqYA8KfiwsQvyBI4IamnY,53,Jump - 2015 Remaster,241600,The Collection,2c965LEDRNrXXCeBOAAwns,Van Halen,27/3/15,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic,4,low,0.0317,0.572,0.835,0.000377,0.795,0,129.981,-6.219,0.171,0.0702
5LNiqEqpDc8TuqPy79kDBu,55,Edge of Seventeen - 2016 Remaster,329413,Bella Donna (Deluxe Edition),3S404OgKoVQSJ3xXrDVlp8,Stevie Nicks,4/11/16,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic,4,low,0.0454,0.591,0.804,5.98E-06,0.658,0,111.457,-7.299,0.327,0.0818
78MI7mu1LV1k4IA2HzKmHe,64,Dream A Little Dream Of Me - Single Version,185160,"Love, Ella",1y5KGkUKO0NG32MhIIagCA,"Ella Fitzgerald, Louis Armstrong",3/5/07,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.101,0.443,0.104,0,0.394,0,76.474,-17.042,0.913,0.191
6MN6yRVriszuyAVlyF8ndB,62,Coffee Cold,205720,Shapes of Rhythm/Woman Is Sweeter,6f4b9wVTkKAf096k4XG6x5,Galt MacDermot,1/1/00,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0298,0.685,0.472,0.284,0.475,9,80.487,-9.691,0.785,0.224
2dR5WkrpwylTuT3jRWNufa,61,Fly Me To The Moon,147147,Ultimate Sinatra,7gmak9ZGm10y4PtZa9SBQn,"Frank Sinatra, Count Basie",17/4/15,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0566,0.67,0.365,0,0.45,0,119.347,-10.158,0.525,0.0575
33jt3kYWjQzqn3xyYQ5ZEh,60,Cheek To Cheek,354533,The Complete Ella And Louis On Verve,2uqlkJu6vckJahCsp6Hfcn,"Ella Fitzgerald, Louis Armstrong",20/5/97,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0914,0.663,0.264,0,0.657,0,122.482,-14.571,0.706,0.1
1xUJ1mdLAysxNBtO9w3J2g,55,Stompin At The Savoy,195533,B. G. In Hi Fi,33oCBSZiLbfqyOnTTQ4Tct,Benny Goodman,1/1/90,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0373,0.525,0.222,0.0799,0.645,10,156.364,-11.065,0.836,0.051
3GOZbK2epuHzCt5YvvVFHO,54,Alone Together - Rudy Van Gelder Remaster 2006,190400,Quiet Kenny,4B0pF1WLB3pCaZ4eTx5U8S,Kenny Dorham,1/1/92,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0363,0.336,0.0619,0.891,0.197,5,60.705,-20.494,0.985,0.11
1CDBaGlisZlOJzvx88lL8A,53,Song For My Father,438280,Song For My Father,4LEnATSqKeANOJ0mLUAuCE,Horace Silver,1/1/99,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0407,0.742,0.671,0.00441,0.591,5,127.359,-8.142,0.794,0.122
6rK27cC9hX0e1Chrnxo9Vn,53,My Romance - Remastered 2006,252947,Boss Tenor (RVG Remasters / Remastered 2006),04l5TDoVZFNPvExGNdVjOj,Gene Ammons,21/3/06,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,3,low,0.0537,0.519,0.0422,0.929,0.397,1,130.436,-10.778,0.966,0.124
2xm9ihELo6xwrRKrBbPql9,53,Body and Soul,182360,Body & Soul,6Ieo4Lrku0sQ63Pd9G8j3L,Coleman Hawkins,21/5/96,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0569,0.659,0.113,0.88,0.738,10,95.063,-16.756,0.976,0.179
7ysmJhXFQtiBQlk6EZ6sks,52,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,295200,Look Out! (Remastered),21YbbJrVCRQIxB5W2EKIbr,Stanley Turrentine,1/1/07,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0336,0.505,0.159,0.0127,0.196,7,59.385,-11.235,0.946,0.212
72PqmnVj86bfTnkFiQ9Mx9,50,Where We Used to Live,267173,Tuesday Wonderland,1FXFyWXLIdOVgjR0MaRa9y,Esbjörn Svensson Trio,22/9/06,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0336,0.517,0.0917,0.629,0.0836,0,95.068,-18.395,0.876,0.108
1czzmAtPTw287TyMQEfCfg,49,Ruby My Dear,372493,Approaching Standards,1OGhqJimAFVAtyX7PKbakD,Roy Hargrove,16/8/94,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0331,0.412,0.195,0.709,0.0778,8,133.918,-10.288,0.9,0.106
1ZXu0ib26kWfQQngREMcU2,49,Giant Steps - 2020 Remaster,287844,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],4jTDjHLMFCHWrjuP1qmCf4,John Coltrane,18/9/20,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.06,0.417,0.42,0.00111,0.517,0,147.143,-13.046,0.186,0.185
1GZD0TZJHmdQaZsucHBmWT,49,Besame Mucho,354573,On Time,5LiPzuR79DTTmyROUm2luC,Dave Brubeck,2/4/01,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,4,low,0.0627,0.517,0.273,0.774,0.321,10,63.423,-17.279,0.866,0.979
2qswPLZD9CbUoSidGNyxwm,49,It Ain't Necessarily So,280481,Gilles Peterson - Magic Peterson Sunshine,6VflpBTIdO5wvutZII2Grw,Mary Lou Williams,15/4/16,Jazz Classics,37i9dQZF1DXbITWG1ZJKYt,jazz,classic,3,low,0.0321,0.477,0.237,0.901,0.178,4,126.222,-17.115,0.947,0.0974
4SFBV7SRNG2e2kyL1F6kjU,60,"The Well-Tempered Clavier, Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude",139307,Piano Book (Deluxe Edition),1XORY4rQNhqkZxTze6Px90,"Johann Sebastian Bach, Lang Lang",29/3/19,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.0446,0.234,0.126,0.896,0.216,0,133.998,-25.427,0.989,0.102
3zLTPuucd3e6TxZnu2dlVS,63,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",212067,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",230jpjk9w7MGupNMMvXoaN,"Ludwig van Beethoven, Igor Levit",2015,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,3,low,0.0446,0.289,0.0306,0.911,0.118,9,125.61,-30.79,0.987,0.102
0jOnZhF75V68VsBObWx2XO,65,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",174267,Songs from the Arc of Life,2y85NsbsBnGTXcXgHpj3PD,"Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott",18/9/15,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,3,low,0.0442,0.169,0.0161,0.86,0.0573,9,128.143,-31.034,0.986,0.0805
1upQiytDIEZfl9ItruoXuC,63,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",207267,Handel Sarabande,657D9POYWMrDMK9MWNxPHL,"George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",2002,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,3,low,0.0606,0.0939,0.0336,0.83,0.0516,2,67.359,-24.041,0.927,0.0954
1cmigB9I6IRpFqjIbzvSQB,65,"Suite bergamasque, L. 75: III. Clair de lune",294960,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",4Ll3RGpn0eVY6MMKPTP99C,"Claude Debussy, Alice Sara Ott",27/7/18,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,5,low,0.0455,0.32,0.00501,0.919,0.0383,1,68.947,-33.366,0.993,0.0618
5fdp9rXfEixCGLM1Og4EN1,62,Gnossienne No. 1,296480,Gnossienne No. 1,4ZWDD7tNRRMB2eO4B5LsJh,"Erik Satie, Alena Cherny",2013,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.0576,0.376,0.00579,0.944,0.0369,5,71.827,-31.615,0.996,0.0882
1n9741DApqn5gvuxhgerCt,51,Tales of Hoffmann: Barcarolle,215240,"I don't like classical music, but I really like this!",72eREPpDWnlR5o2hUExugS,"Jacques Offenbach, Arthur Fiedler, Boston Pops Orchestra",13/6/14,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.0341,0.168,0.256,0.175,0.134,2,90.072,-15.549,0.932,0.384
0cqcRqZgkNHanWQ8slYA0v,55,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,583293,Mahler: Symphony No. 5,2xhhbZySK489esUAtrs65j,"Gustav Mahler, Daniel Barenboim, Chicago Symphony Orchestra",14/8/98,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.0471,0.0783,0.0523,0.945,0.0327,5,82.015,-23.247,0.896,0.0806
0k6P9cdEA9K3k0ASde2Kof,53,Rodrigo: Concierto de Aranjuez: II. Adagio,640267,Aranjuez,2K6XjvDKO2HTCDqGZkph9e,"Joaquín Rodrigo, Thibaut García, Ben Glassberg, Orchestre National Du Capitole De Toulouse",2/10/20,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.0437,0.253,0.098,0.862,0.062,11,84.865,-19.878,0.93,0.122
4rrrn8OLrttq7r9RgNXalU,60,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",644273,Rachmaninov: Piano Concerto No.2,5lVqgXqdoIH3W1wUM2hzPx,"Sergei Rachmaninoff, Valentina Lisitsa, London Symphony Orchestra, Michael Francis",1/1/12,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.0366,0.194,0.0545,0.945,0.0385,4,140.966,-24.877,0.983,0.0551
3GecLjGMqzjmgkvy2v41Wf,53,"Ständchen in D Minor (After Schubert), S. 560",357747,Liszt,12TLeKJv0q5fnF2obaf6Is,"Franz Liszt, Lise de la Salle",23/8/11,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,1,low,0.0388,0.341,0.0142,0.921,0.0384,2,76.382,-28.293,0.993,0.113
2u9VGZmVz7Rm01SfDgzcfA,60,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",293147,Liszt - My Piano Hero,39Hh5k01di42nUCLn8Wxqu,"Franz Liszt, Lang Lang",25/7/11,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,3,low,0.0406,0.279,0.0292,0.902,0.0338,8,136.732,-26.804,0.987,0.104
4FycxLfl7H5CQnqw9J6LXZ,58,Palladio: 1. Allegretto (arr. for Strings Orchestra),226880,Quirk,1EICPBWv4fDj3sy3vn6p0y,"Karl Jenkins, Carmine Lauri, David Alberman, London Symphony Orchestra",2008,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.0419,0.53,0.339,0.874,0.0719,2,90.041,-16.973,0.567,0.102
3DNRdudZ2SstnDCVKFdXxG,68,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",315427,"Beethoven: Piano Sonatas, Vol.3",4bNwPPpk01D8pVV9IFSBde,"Ludwig van Beethoven, Paul Lewis",25/9/07,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,3,low,0.0432,0.184,0.00527,0.887,0.151,1,170.612,-37.264,0.995,0.173
2mRUmSG3XGjFloqgAT2UJN,49,Eine kleine Nachtmusik K. 525: Allegro,352000,Mozart: Eine Kleine Nachtmusik,4XtXDGPvBn9DMDWuqZ0uX9,"Wolfgang Amadeus Mozart, Andrew Watkinson",1998,Classical Essentials,37i9dQZF1DWWEJlAGA9gs0,classical,essential,4,low,0.039,0.366,0.139,0.913,0.31,7,139.478,-19.978,0.885,0.0725
